neighbourhood_group,neighbourhood,room_type,price_per_night,minimum_nights_to_book,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Williamsburg,Private room,50,7,1,0.07,1,0
Brooklyn,Williamsburg,Entire home/apt,199,3,4,0.08,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,3,4,0.17,1,250
Manhattan,Greenwich Village,Entire home/apt,289,3,6,0.52,1,0
Queens,Elmhurst,Entire home/apt,90,2,8,0.43,1,0
Brooklyn,Bushwick,Entire home/apt,200,3,1,0.16,1,5
Manhattan,West Village,Entire home/apt,175,21,17,0.36,1,0
Manhattan,Harlem,Entire home/apt,225,3,2,0.13,1,1
Manhattan,Upper West Side,Private room,150,1,28,0.51,1,364
Brooklyn,Bedford-Stuyvesant,Private room,75,2,2,0.42,1,33
Staten Island,Midland Beach,Entire home/apt,115,2,2,2.0,1,231
Brooklyn,Williamsburg,Entire home/apt,200,10,4,0.12,1,0
Queens,East Elmhurst,Private room,60,1,209,4.38,1,364
Brooklyn,Crown Heights,Entire home/apt,120,2,48,2.44,1,227
Brooklyn,Crown Heights,Private room,59,1,2,0.29,1,0
Manhattan,Chelsea,Entire home/apt,93,5,2,2.0,1,0
Queens,Astoria,Entire home/apt,225,2,1,1.0,1,270
Brooklyn,Williamsburg,Private room,72,3,2,0.31,1,0
Manhattan,East Harlem,Private room,70,1,172,7.27,3,0
Brooklyn,Flatbush,Private room,50,27,6,0.14,2,0
Manhattan,Harlem,Private room,88,3,6,0.33,1,82
Queens,Astoria,Private room,45,21,9,0.56,1,58
Manhattan,Chelsea,Entire home/apt,96,1,32,2.03,1,2
Brooklyn,Bedford-Stuyvesant,Private room,49,1,107,2.19,3,69
Brooklyn,Williamsburg,Entire home/apt,300,2,10,0.15,1,214
Queens,Ridgewood,Private room,52,2,98,1.09,1,326
Brooklyn,East Flatbush,Private room,45,1,15,0.76,2,269
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,7,8,0.58,1,4
Manhattan,Harlem,Private room,69,7,2,1.71,1,30
Brooklyn,Park Slope,Private room,47,2,7,0.26,1,0
Brooklyn,Fort Greene,Entire home/apt,200,2,31,2.27,1,95
Brooklyn,Bushwick,Private room,43,1,4,0.15,3,0
Manhattan,Upper West Side,Entire home/apt,150,1,2,0.06,1,0
Brooklyn,Windsor Terrace,Entire home/apt,175,2,54,3.56,1,135
Queens,Kew Gardens,Entire home/apt,100,1,2,0.09,1,0
Manhattan,Inwood,Private room,100,1,20,0.28,1,0
Brooklyn,Williamsburg,Private room,55,1,147,4.1,3,24
Queens,Ridgewood,Private room,90,1,57,4.31,1,284
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,2,3,0.38,2,0
Manhattan,Chinatown,Private room,99,1,42,0.98,1,0
Manhattan,Greenwich Village,Entire home/apt,200,4,11,0.14,1,259
Manhattan,Hell's Kitchen,Entire home/apt,200,6,2,1.43,1,11
Queens,Belle Harbor,Private room,200,2,4,1.28,2,332
Queens,Ridgewood,Entire home/apt,199,3,5,3.13,1,145
Brooklyn,Downtown Brooklyn,Entire home/apt,140,3,131,3.24,1,28
Manhattan,East Harlem,Entire home/apt,120,29,1,0.77,2,0
Brooklyn,Prospect Heights,Private room,90,1,8,0.75,1,129
Brooklyn,Flatbush,Entire home/apt,120,3,12,0.22,1,0
Manhattan,Two Bridges,Private room,99,2,3,0.08,1,0
Manhattan,Harlem,Private room,180,3,14,0.16,3,348
Brooklyn,Bedford-Stuyvesant,Private room,300,1,4,0.2,1,0
Brooklyn,Williamsburg,Entire home/apt,110,6,3,0.98,1,25
Manhattan,Midtown,Entire home/apt,130,1,3,0.08,2,0
Manhattan,East Village,Private room,100,3,64,2.58,1,224
Queens,Astoria,Entire home/apt,200,7,2,0.04,1,0
Queens,South Ozone Park,Entire home/apt,85,4,55,2.48,1,69
Manhattan,Washington Heights,Entire home/apt,120,2,1,0.07,1,210
Queens,Rockaway Beach,Entire home/apt,179,2,34,2.37,1,205
Manhattan,Morningside Heights,Private room,73,6,11,0.31,3,90
Manhattan,Upper East Side,Private room,80,1,27,3.45,1,0
Queens,Astoria,Entire home/apt,100,1,2,0.03,2,0
Manhattan,West Village,Entire home/apt,258,3,57,1.1,1,320
Queens,Kew Gardens,Entire home/apt,80,2,1,0.05,1,340
Queens,Astoria,Private room,85,2,2,0.04,1,0
Manhattan,SoHo,Entire home/apt,315,2,29,1.31,1,177
Manhattan,Theater District,Private room,120,3,25,1.72,1,0
Brooklyn,Sunset Park,Entire home/apt,140,2,108,2.89,1,278
Manhattan,East Harlem,Private room,95,1,1,1.0,1,8
Bronx,Mott Haven,Entire home/apt,75,2,85,1.41,2,253
Manhattan,Midtown,Private room,130,2,2,0.13,1,0
Manhattan,Lower East Side,Entire home/apt,200,1,26,0.95,2,317
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,4,9,0.93,1,132
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,1,95,7.94,3,243
Manhattan,Harlem,Entire home/apt,185,2,12,0.65,1,0
Manhattan,Financial District,Private room,85,1,2,0.05,2,0
Manhattan,Harlem,Private room,70,3,62,1.94,1,73
Queens,Woodside,Private room,79,2,61,0.93,1,353
Manhattan,Harlem,Entire home/apt,250,3,18,0.97,1,20
Queens,Jamaica Estates,Private room,50,1,3,3.0,1,179
Manhattan,East Village,Private room,121,3,51,2.42,3,0
Brooklyn,Williamsburg,Private room,48,1,23,3.71,2,0
Manhattan,Harlem,Entire home/apt,188,3,4,1.18,1,253
Manhattan,East Village,Entire home/apt,299,2,63,1.15,1,210
Brooklyn,Bedford-Stuyvesant,Private room,50,3,70,1.59,3,25
Brooklyn,Windsor Terrace,Entire home/apt,85,3,12,0.53,1,5
Brooklyn,Bedford-Stuyvesant,Private room,76,1,19,0.7,1,89
Manhattan,Kips Bay,Private room,55,1,8,0.33,1,0
Manhattan,Harlem,Private room,69,1,61,9.29,2,8
Manhattan,Harlem,Private room,62,10,4,0.48,3,345
Manhattan,West Village,Entire home/apt,200,4,10,0.25,1,0
Queens,Middle Village,Private room,28,1,21,6.49,1,14
Queens,Sunnyside,Entire home/apt,85,4,2,0.05,1,0
Brooklyn,Bay Ridge,Private room,35,1,33,0.84,1,337
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,64,1.26,1,132
Manhattan,Chelsea,Entire home/apt,200,1,4,0.09,1,0
Brooklyn,Clinton Hill,Entire home/apt,94,2,10,0.39,1,0
Staten Island,Stapleton,Private room,85,2,26,3.92,3,305
Manhattan,Harlem,Private room,100,2,73,4.98,2,68
Queens,Briarwood,Entire home/apt,80,5,51,3.23,1,57
Brooklyn,Bushwick,Entire home/apt,120,3,4,0.08,1,157
Manhattan,Chinatown,Entire home/apt,150,1,23,1.42,1,14
Queens,Maspeth,Entire home/apt,150,2,27,2.69,2,317
Brooklyn,Bushwick,Entire home/apt,70,6,15,3.19,1,63
Queens,Astoria,Private room,25,7,2,0.29,1,66
Manhattan,Midtown,Entire home/apt,149,3,8,0.34,2,0
Brooklyn,Park Slope,Entire home/apt,110,60,2,0.81,1,83
Brooklyn,Bedford-Stuyvesant,Private room,50,1,3,2.73,1,0
Manhattan,West Village,Entire home/apt,250,80,5,0.06,2,78
Queens,Astoria,Entire home/apt,100,2,141,2.43,1,216
Manhattan,East Harlem,Private room,89,1,273,3.66,2,47
Brooklyn,Bushwick,Private room,55,1,3,0.08,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,3,34,4.36,1,42
Queens,Jamaica,Entire home/apt,150,1,75,9.3,2,69
Brooklyn,Bushwick,Private room,78,2,18,1.8,2,266
Brooklyn,Canarsie,Entire home/apt,110,2,2,2.0,1,87
Manhattan,Harlem,Private room,50,30,46,0.79,3,330
Staten Island,Randall Manor,Entire home/apt,99,2,1,1.0,2,342
Brooklyn,Williamsburg,Entire home/apt,190,1,95,7.38,1,0
Brooklyn,Bushwick,Entire home/apt,100,2,107,4.37,1,46
Manhattan,SoHo,Private room,150,3,30,0.48,2,4
Brooklyn,Sunset Park,Private room,40,2,119,2.88,1,0
Brooklyn,Williamsburg,Private room,65,27,4,0.44,2,154
Brooklyn,Prospect-Lefferts Gardens,Private room,65,1,35,0.73,2,0
Brooklyn,Bedford-Stuyvesant,Private room,50,2,3,0.09,1,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,135,3,3,0.16,1,0
Brooklyn,Bedford-Stuyvesant,Private room,75,3,5,0.15,1,145
Brooklyn,Crown Heights,Private room,64,1,1,0.04,1,0
Brooklyn,Bedford-Stuyvesant,Private room,42,7,6,0.1,1,0
Manhattan,East Harlem,Entire home/apt,180,10,13,0.92,1,11
Manhattan,East Harlem,Shared room,45,2,107,1.5,1,313
Manhattan,Upper West Side,Private room,100,3,38,1.21,1,14
Brooklyn,Bushwick,Entire home/apt,154,2,2,1.4,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,300,2,95,3.51,2,229
Manhattan,Inwood,Entire home/apt,199,2,49,1.81,3,147
Manhattan,SoHo,Entire home/apt,150,2,89,1.94,1,55
Brooklyn,Crown Heights,Entire home/apt,112,2,50,3.93,1,0
Brooklyn,Bushwick,Private room,33,1,1,0.02,1,0
Bronx,Mount Eden,Private room,55,2,112,4.65,1,271
Manhattan,Inwood,Entire home/apt,122,3,34,0.68,1,0
Manhattan,Gramercy,Private room,150,1,1,0.02,1,0
Brooklyn,Sunset Park,Entire home/apt,90,2,41,2.75,1,0
Manhattan,Upper West Side,Private room,130,2,3,0.06,1,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,200,3,32,1.37,1,317
Brooklyn,East Flatbush,Private room,40,2,7,4.29,1,0
Manhattan,Harlem,Private room,75,2,46,1.17,2,0
Queens,Astoria,Entire home/apt,110,2,47,0.81,2,0
Manhattan,Harlem,Private room,115,2,93,3.92,1,129
Manhattan,Gramercy,Entire home/apt,250,2,4,4.0,1,160
Brooklyn,Williamsburg,Private room,70,1,1,0.07,1,0
Brooklyn,Crown Heights,Entire home/apt,70,3,2,0.05,2,88
Brooklyn,Bushwick,Entire home/apt,78,3,10,0.16,2,0
Manhattan,Harlem,Private room,80,7,95,1.56,1,278
Brooklyn,Williamsburg,Private room,100,60,3,0.04,1,365
Brooklyn,Bushwick,Entire home/apt,250,1,7,1.06,2,5
Queens,Howard Beach,Private room,50,1,5,0.24,2,0
Manhattan,Harlem,Private room,65,2,2,0.05,2,114
Brooklyn,Fort Greene,Entire home/apt,115,2,1,1.0,1,16
Manhattan,Upper East Side,Private room,72,3,21,0.9,1,61
Brooklyn,Greenpoint,Entire home/apt,170,3,4,1.3,1,157
Brooklyn,Bushwick,Private room,90,3,2,0.46,1,0
Manhattan,Kips Bay,Private room,150,1,1,0.67,2,157
Brooklyn,Sheepshead Bay,Private room,50,1,6,6.0,3,83
Brooklyn,Williamsburg,Entire home/apt,100,7,26,0.75,1,1
Queens,Briarwood,Private room,70,3,64,1.16,1,282
Manhattan,Gramercy,Entire home/apt,135,1,5,0.06,1,0
Brooklyn,Bushwick,Entire home/apt,175,1,54,5.26,2,137
Brooklyn,Williamsburg,Entire home/apt,125,31,11,1.29,2,190
Manhattan,Chelsea,Entire home/apt,175,1,1,0.02,1,0
Brooklyn,Bushwick,Private room,48,7,61,0.87,1,0
Brooklyn,DUMBO,Private room,125,2,152,3.16,2,166
Queens,Astoria,Private room,90,1,9,3.14,2,341
Manhattan,Greenwich Village,Private room,89,7,44,3.11,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,65,3,1,0.15,1,281
Manhattan,Harlem,Entire home/apt,80,5,2,0.06,1,0
Queens,Glendale,Private room,50,2,18,3.78,2,63
Brooklyn,Williamsburg,Shared room,45,1,2,0.09,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,2,6,0.85,1,179
Brooklyn,Williamsburg,Private room,65,3,15,0.65,2,2
Manhattan,East Village,Private room,119,2,4,0.08,1,0
Manhattan,Upper West Side,Entire home/apt,85,4,42,1.44,1,9
Manhattan,Kips Bay,Entire home/apt,240,1,66,4.09,1,83
Brooklyn,East Flatbush,Entire home/apt,100,2,157,3.18,2,342
Brooklyn,South Slope,Private room,99,5,1,0.02,1,0
Brooklyn,Greenpoint,Entire home/apt,109,90,1,0.04,1,35
Manhattan,Chinatown,Private room,77,7,1,0.07,1,0
Queens,Rego Park,Private room,47,1,7,0.82,1,0
Brooklyn,Bushwick,Private room,49,1,18,4.74,2,158
Bronx,Norwood,Private room,87,2,1,0.05,1,0
Manhattan,Kips Bay,Private room,118,5,51,0.76,1,201
Brooklyn,Greenpoint,Entire home/apt,120,7,17,0.33,1,0
Brooklyn,Prospect-Lefferts Gardens,Private room,45,14,9,0.19,2,0
Queens,Astoria,Entire home/apt,115,1,30,5.81,1,85
Manhattan,Kips Bay,Entire home/apt,219,1,18,4.46,1,292
Manhattan,West Village,Entire home/apt,249,3,6,0.1,1,0
Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,1,189
Brooklyn,Prospect Heights,Entire home/apt,125,2,80,2.83,1,105
Manhattan,Harlem,Entire home/apt,125,3,8,1.17,1,119
Brooklyn,Bedford-Stuyvesant,Private room,75,2,13,1.53,3,365
Manhattan,Harlem,Private room,70,2,228,4.27,1,247
Manhattan,East Village,Entire home/apt,200,3,4,1.97,1,4
Manhattan,Upper East Side,Entire home/apt,99,2,249,3.63,1,172
Brooklyn,Crown Heights,Entire home/apt,88,4,66,2.35,1,0
Manhattan,West Village,Entire home/apt,300,5,88,2.32,1,121
Manhattan,Hell's Kitchen,Entire home/apt,255,2,2,2.0,1,55
Brooklyn,Vinegar Hill,Entire home/apt,175,4,1,0.05,1,0
Queens,Jamaica,Entire home/apt,75,1,63,6.1,1,61
Manhattan,Financial District,Private room,96,4,4,0.19,1,0
Brooklyn,Prospect-Lefferts Gardens,Private room,75,4,6,0.39,2,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,69,3,16,0.59,1,6
Brooklyn,Bedford-Stuyvesant,Private room,99,1,24,2.36,2,179
Manhattan,Midtown,Private room,90,7,27,0.5,1,35
Manhattan,Upper East Side,Entire home/apt,180,2,23,2.04,1,2
Manhattan,Financial District,Private room,85,1,3,0.08,1,0
Brooklyn,Sunset Park,Private room,75,1,1,0.15,1,365
Manhattan,Harlem,Private room,58,3,27,0.54,1,0
Brooklyn,Greenpoint,Entire home/apt,225,7,2,0.04,1,0
Brooklyn,Bushwick,Private room,69,2,1,0.02,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,5,0.45,1,0
Manhattan,Harlem,Private room,64,3,142,3.12,2,210
Brooklyn,Crown Heights,Shared room,25,2,13,0.81,1,81
Manhattan,Hell's Kitchen,Entire home/apt,99,1,34,2.9,1,1
Staten Island,Oakwood,Private room,65,1,1,1.0,3,179
Brooklyn,Greenpoint,Private room,56,1,154,4.49,2,44
Brooklyn,Williamsburg,Entire home/apt,250,3,31,1.27,1,13
Manhattan,East Harlem,Private room,100,2,77,1.9,1,235
Manhattan,East Village,Private room,89,1,278,2.95,3,192
Manhattan,Financial District,Entire home/apt,130,2,15,0.42,1,0
Brooklyn,Greenpoint,Private room,50,2,36,0.51,3,232
Manhattan,Upper West Side,Entire home/apt,200,2,22,0.5,1,0
Brooklyn,Bay Ridge,Entire home/apt,95,3,7,0.22,1,0
Queens,Sunnyside,Entire home/apt,100,3,4,0.34,1,326
Brooklyn,Bushwick,Private room,58,1,26,7.03,1,70
Manhattan,Harlem,Private room,69,2,72,2.09,3,72
Manhattan,East Village,Entire home/apt,240,3,7,1.79,1,99
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,6,3,0.27,1,1
Brooklyn,Williamsburg,Private room,75,4,3,0.05,1,0
Bronx,Longwood,Private room,60,1,8,0.22,1,364
Brooklyn,Crown Heights,Entire home/apt,120,3,70,1.79,1,208
Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,5,1,0.4,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,3,99,4.79,2,288
Queens,East Elmhurst,Shared room,16,1,10,1.36,1,0
Manhattan,Kips Bay,Private room,80,30,3,0.23,1,0
Manhattan,NoHo,Entire home/apt,179,1,28,0.54,1,0
Manhattan,Lower East Side,Entire home/apt,255,2,13,2.32,1,239
Brooklyn,Bedford-Stuyvesant,Private room,50,2,42,2.28,2,53
Manhattan,Harlem,Entire home/apt,85,3,35,1.36,2,40
Manhattan,East Village,Private room,85,5,142,2.3,1,80
Brooklyn,East Flatbush,Private room,80,1,71,8.99,2,35
Queens,College Point,Entire home/apt,69,1,19,3.93,1,212
Manhattan,Upper West Side,Private room,250,7,3,0.06,1,0
Manhattan,Lower East Side,Private room,65,1,178,4.16,3,79
Manhattan,East Village,Entire home/apt,100,4,5,0.3,1,0
Bronx,Pelham Gardens,Private room,40,2,17,1.23,1,17
Brooklyn,Williamsburg,Private room,64,2,2,0.06,1,0
Manhattan,Kips Bay,Entire home/apt,220,5,1,0.05,1,0
Manhattan,East Village,Private room,65,2,1,0.04,1,0
Brooklyn,Flatbush,Private room,40,2,12,0.47,1,0
Manhattan,Financial District,Entire home/apt,300,2,21,1.14,1,0
Brooklyn,Fort Greene,Entire home/apt,180,31,1,0.02,1,0
Brooklyn,Clinton Hill,Entire home/apt,200,5,3,0.33,2,89
Brooklyn,Williamsburg,Entire home/apt,250,2,3,0.06,1,0
Manhattan,Upper West Side,Entire home/apt,295,3,3,0.27,1,0
Manhattan,Upper East Side,Shared room,59,1,7,0.34,1,0
Manhattan,Inwood,Entire home/apt,69,1,1,0.02,1,0
Manhattan,Lower East Side,Private room,61,5,8,0.65,3,50
Brooklyn,South Slope,Private room,100,2,1,0.02,1,0
Brooklyn,Sunset Park,Private room,38,2,1,0.03,1,0
Brooklyn,Crown Heights,Entire home/apt,102,3,7,1.72,1,4
Brooklyn,Clinton Hill,Entire home/apt,100,5,1,1.0,1,243
Manhattan,Midtown,Entire home/apt,110,1,8,4.0,1,238
Brooklyn,Bedford-Stuyvesant,Entire home/apt,190,3,11,1.2,2,179
Brooklyn,Williamsburg,Private room,60,1,1,0.02,2,0
Brooklyn,Sunset Park,Entire home/apt,150,5,2,0.08,3,179
Manhattan,Nolita,Entire home/apt,175,3,68,0.69,1,277
Queens,Astoria,Private room,65,2,16,0.27,1,302
Brooklyn,Bushwick,Entire home/apt,125,1,19,0.55,1,281
Brooklyn,Park Slope,Entire home/apt,125,2,45,0.66,1,0
Manhattan,Harlem,Private room,100,3,8,3.87,1,359
Manhattan,Lower East Side,Entire home/apt,195,2,71,1.04,1,222
Brooklyn,Park Slope,Entire home/apt,100,3,4,0.18,1,0
Brooklyn,Williamsburg,Private room,63,10,2,0.52,1,0
Manhattan,West Village,Entire home/apt,154,3,3,1.14,1,19
Brooklyn,Flatbush,Entire home/apt,120,5,3,0.31,2,231
Manhattan,Upper West Side,Entire home/apt,220,30,4,0.16,1,124
Manhattan,Hell's Kitchen,Entire home/apt,320,1,12,12.0,1,189
Bronx,Morrisania,Private room,40,2,80,5.01,2,291
Manhattan,East Village,Entire home/apt,250,2,11,0.24,1,0
Brooklyn,Flatbush,Entire home/apt,115,30,4,0.07,1,47
Brooklyn,Williamsburg,Private room,100,2,6,0.28,1,0
Brooklyn,Prospect Heights,Private room,150,2,13,0.26,1,0
Queens,Jackson Heights,Entire home/apt,95,3,12,1.31,1,31
Brooklyn,Windsor Terrace,Private room,63,2,22,0.51,1,48
Queens,Astoria,Entire home/apt,225,2,2,2.0,1,277
Queens,Long Island City,Private room,61,3,1,0.04,1,0
Queens,East Elmhurst,Entire home/apt,80,3,68,1.79,1,334
Manhattan,Harlem,Private room,110,1,1,0.45,2,0
Manhattan,Gramercy,Entire home/apt,99,3,10,0.51,2,0
Brooklyn,Williamsburg,Entire home/apt,200,120,12,0.17,1,306
Brooklyn,Bedford-Stuyvesant,Private room,65,1,24,0.47,2,80
Manhattan,East Village,Entire home/apt,255,2,1,0.57,1,0
Queens,Elmhurst,Entire home/apt,88,4,44,2.33,2,39
Manhattan,Midtown,Entire home/apt,185,3,35,1.66,1,0
Queens,Glendale,Entire home/apt,150,2,4,0.41,2,0
Manhattan,Inwood,Private room,45,2,36,0.57,2,188
Brooklyn,Crown Heights,Private room,75,3,1,0.05,1,0
Brooklyn,Sheepshead Bay,Entire home/apt,88,4,1,0.04,1,0
Brooklyn,Clinton Hill,Entire home/apt,250,5,6,0.28,2,354
Brooklyn,Bushwick,Entire home/apt,98,4,1,0.02,1,0
Manhattan,Chelsea,Private room,130,2,3,3.0,3,132
Brooklyn,Crown Heights,Private room,48,25,4,0.06,1,311
Manhattan,Gramercy,Entire home/apt,186,9,25,1.33,1,8
Manhattan,Harlem,Private room,59,4,8,0.26,1,0
Manhattan,Washington Heights,Private room,40,15,4,0.05,3,353
Manhattan,East Harlem,Entire home/apt,120,1,3,0.16,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,165,1,42,3.16,1,133
Queens,Astoria,Entire home/apt,99,3,94,2.52,1,1
Manhattan,Hell's Kitchen,Entire home/apt,280,2,28,2.83,1,147
Brooklyn,Carroll Gardens,Entire home/apt,150,2,61,3.42,2,85
Brooklyn,Flatbush,Private room,80,1,4,0.48,1,179
Queens,Flushing,Entire home/apt,100,7,9,0.16,1,268
Manhattan,East Harlem,Entire home/apt,120,5,20,1.04,1,341
Brooklyn,Prospect Heights,Private room,80,3,1,0.05,1,0
Manhattan,Washington Heights,Private room,43,4,70,1.61,1,0
Queens,Long Island City,Entire home/apt,133,20,9,1.27,1,21
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,5,1,0.03,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,4,113,2.87,2,287
Queens,Ridgewood,Entire home/apt,190,3,1,0.16,2,0
Queens,Ditmars Steinway,Private room,80,4,32,0.72,1,303
Queens,Sunnyside,Private room,76,3,9,0.97,1,112
Brooklyn,Bushwick,Entire home/apt,90,2,19,3.88,1,53
Manhattan,Harlem,Private room,95,5,206,2.89,1,252
Manhattan,Hell's Kitchen,Entire home/apt,279,1,130,5.73,1,174
Brooklyn,South Slope,Entire home/apt,120,3,8,0.13,1,9
Manhattan,Harlem,Entire home/apt,150,5,11,0.82,1,0
Brooklyn,Crown Heights,Entire home/apt,300,3,83,2.43,2,218
Brooklyn,Crown Heights,Entire home/apt,135,3,17,0.68,1,0
Manhattan,Kips Bay,Entire home/apt,190,9,5,0.2,1,0
Brooklyn,Fort Greene,Private room,95,2,5,0.74,1,0
Queens,Elmhurst,Private room,45,3,12,0.37,2,201
Brooklyn,Coney Island,Entire home/apt,101,5,2,0.26,1,323
Manhattan,Washington Heights,Private room,60,3,5,1.95,1,20
Brooklyn,Williamsburg,Entire home/apt,173,2,51,3.55,2,127
Manhattan,Harlem,Entire home/apt,179,2,37,2.32,1,333
Brooklyn,Williamsburg,Private room,55,6,1,0.07,1,0
Queens,Sunnyside,Private room,75,2,3,0.06,1,0
Brooklyn,Midwood,Private room,40,1,4,0.29,1,84
Manhattan,Kips Bay,Entire home/apt,67,1,1,0.02,1,0
Brooklyn,Bushwick,Entire home/apt,100,4,123,2.48,1,184
Bronx,Mott Haven,Private room,35,1,24,2.38,1,150
Brooklyn,Gowanus,Entire home/apt,115,3,1,0.26,1,0
Brooklyn,Williamsburg,Private room,59,3,82,1.92,2,0
Brooklyn,Borough Park,Private room,65,1,9,3.38,2,46
Brooklyn,Bushwick,Private room,45,4,6,0.47,1,0
Manhattan,Hell's Kitchen,Entire home/apt,199,3,25,2.48,1,30
Manhattan,Washington Heights,Private room,38,2,23,1.43,1,30
Brooklyn,Crown Heights,Entire home/apt,119,4,91,1.81,1,316
Manhattan,Hell's Kitchen,Entire home/apt,230,4,12,0.33,1,41
Queens,Long Island City,Private room,75,2,17,0.68,1,0
Queens,Astoria,Private room,60,2,4,0.18,2,177
Brooklyn,Flatbush,Private room,45,2,1,0.03,1,0
Manhattan,Harlem,Entire home/apt,198,3,9,0.35,1,127
Manhattan,East Village,Entire home/apt,198,3,5,0.22,1,0
Manhattan,Washington Heights,Entire home/apt,125,30,3,0.15,2,323
Manhattan,Chelsea,Entire home/apt,225,1,102,4.55,1,33
Manhattan,Greenwich Village,Entire home/apt,150,3,33,0.52,1,107
Brooklyn,Crown Heights,Entire home/apt,153,4,105,2.45,1,9
Manhattan,Harlem,Private room,89,5,34,1.58,1,86
Manhattan,Hell's Kitchen,Private room,85,10,116,1.17,1,174
Brooklyn,South Slope,Entire home/apt,135,7,1,0.03,1,21
Manhattan,NoHo,Entire home/apt,175,7,12,1.01,1,2
Manhattan,Hell's Kitchen,Private room,155,2,3,0.24,2,0
Manhattan,Upper East Side,Entire home/apt,152,1,42,1.06,1,357
Manhattan,Morningside Heights,Entire home/apt,130,5,1,0.02,1,0
Manhattan,Harlem,Entire home/apt,130,3,11,0.56,1,89
Brooklyn,Brooklyn Heights,Private room,99,2,72,1.62,1,231
Brooklyn,Williamsburg,Private room,60,2,7,0.17,1,0
Brooklyn,Williamsburg,Entire home/apt,150,1,12,0.33,1,0
Brooklyn,Williamsburg,Entire home/apt,0,5,3,0.15,1,73
Queens,Jackson Heights,Entire home/apt,144,2,13,0.3,1,288
Brooklyn,Greenpoint,Private room,100,2,8,0.23,1,0
Manhattan,East Village,Entire home/apt,129,1,198,5.63,1,21
Queens,Woodside,Private room,50,2,1,0.51,2,262
Manhattan,East Village,Entire home/apt,255,5,2,2.0,1,11
Brooklyn,Greenpoint,Entire home/apt,150,1,12,0.39,1,0
Brooklyn,Bedford-Stuyvesant,Private room,99,3,16,1.24,3,360
Manhattan,West Village,Private room,100,1,4,0.3,1,0
Brooklyn,Crown Heights,Private room,47,14,9,0.19,1,8
Brooklyn,Sunset Park,Private room,47,3,2,0.04,1,0
Manhattan,Upper East Side,Entire home/apt,130,4,5,0.15,1,0
Brooklyn,Crown Heights,Entire home/apt,200,1,2,0.09,1,0
Queens,Briarwood,Private room,56,5,80,1.16,2,298
Manhattan,Greenwich Village,Entire home/apt,240,1,72,1.8,1,0
Queens,Astoria,Entire home/apt,120,1,1,0.03,1,0
Manhattan,Upper East Side,Entire home/apt,140,2,1,0.03,1,0
Manhattan,Lower East Side,Entire home/apt,150,3,286,2.81,1,191
Brooklyn,Greenpoint,Entire home/apt,165,1,1,0.02,1,0
Manhattan,Upper East Side,Private room,100,2,39,2.58,1,55
Manhattan,Harlem,Private room,60,2,12,2.35,1,1
Queens,Kew Gardens,Entire home/apt,100,1,14,0.31,1,90
Manhattan,Hell's Kitchen,Private room,180,4,12,1.68,1,172
Queens,Woodside,Private room,75,1,37,2.09,3,344
Brooklyn,Bushwick,Entire home/apt,90,3,9,0.74,1,0
Brooklyn,Williamsburg,Entire home/apt,245,3,16,0.4,2,66
Brooklyn,Downtown Brooklyn,Entire home/apt,121,5,4,0.12,1,0
Manhattan,Upper West Side,Entire home/apt,110,30,7,0.14,1,67
Manhattan,East Harlem,Shared room,60,1,4,0.08,1,0
Brooklyn,Greenpoint,Entire home/apt,180,10,16,1.27,1,61
Queens,Jackson Heights,Private room,89,4,2,0.33,2,175
Manhattan,Greenwich Village,Private room,79,4,87,1.02,1,30
Brooklyn,Flatbush,Shared room,25,1,8,1.73,1,0
Manhattan,Washington Heights,Entire home/apt,130,3,10,0.29,1,188
Manhattan,Harlem,Entire home/apt,170,1,1,0.02,1,0
Brooklyn,Greenpoint,Entire home/apt,200,2,5,0.37,2,7
Queens,Corona,Entire home/apt,69,2,166,7.5,2,140
Manhattan,Upper West Side,Private room,155,5,24,0.4,1,88
Brooklyn,Boerum Hill,Entire home/apt,174,2,9,1.13,2,3
Manhattan,Hell's Kitchen,Entire home/apt,245,2,24,0.61,1,48
